t	Alfa	omega	energia
0.059100	3.238606	4.075417	20820.283353
0.059200	3.239014	4.075548	20821.131189
0.059300	3.239421	4.075680	20821.978660
0.059400	3.239829	4.075811	20822.825766
0.059500	3.240236	4.075943	20823.672506
0.059600	3.240644	4.076074	20824.518881
0.059700	3.241052	4.076206	20825.364890
0.059800	3.241459	4.076337	20826.210534
0.059900	3.241867	4.076469	20827.055812
0.060000	3.242275	4.076601	20827.900724
0.060100	3.242682	4.076732	20828.745271
0.060200	3.243090	4.076864	20829.589452
0.060300	3.243498	4.076995	20830.433268
0.060400	3.243905	4.077127	20831.276718
0.060500	3.244313	4.077258	20832.119802
0.060600	3.244721	4.077390	20832.962520
0.060700	3.245129	4.077522	20833.804872
0.060800	3.245536	4.077653	20834.646859
0.060900	3.245944	4.077785	20835.488480
0.061000	3.246352	4.077917	20836.329735
0.061100	3.246760	4.078048	20837.170624
0.061200	3.247167	4.078180	20838.011147
0.061300	3.247575	4.078312	20838.851304
0.061400	3.247983	4.078443	20839.691096
0.061500	3.248391	4.078575	20840.530521
0.061600	3.248799	4.078707	20841.369580
0.061700	3.249207	4.078839	20842.208274
0.061800	3.249615	4.078971	20843.046601
0.061900	3.250022	4.079102	20843.884562
0.062000	3.250430	4.079234	20844.722157
0.062100	3.250838	4.079366	20845.559386
0.062200	3.251246	4.079498	20846.396248
0.062300	3.251654	4.079630	20847.232745
0.062400	3.252062	4.079761	20848.068875
0.062500	3.252470	4.079893	20848.904639
0.062600	3.252878	4.080025	20849.740037
0.062700	3.253286	4.080157	20850.575069
0.062800	3.253694	4.080289	20851.409734
0.062900	3.254102	4.080421	20852.244033
0.063000	3.254510	4.080553	20853.077965
0.063100	3.254918	4.080685	20853.911532
0.063200	3.255326	4.080817	20854.744731
0.063300	3.255735	4.080949	20855.577565
0.063400	3.256143	4.081081	20856.410032
0.063500	3.256551	4.081213	20857.242132
0.063600	3.256959	4.081345	20858.073866
0.063700	3.257367	4.081477	20858.905233
0.063800	3.257775	4.081609	20859.736234
0.063900	3.258183	4.081741	20860.566868
0.064000	3.258591	4.081873	20861.397136
0.064100	3.259000	4.082005	20862.227037
0.064200	3.259408	4.082137	20863.056572
0.064300	3.259816	4.082269	20863.885739
0.064400	3.260224	4.082401	20864.714541
0.064500	3.260633	4.082533	20865.542975
0.064600	3.261041	4.082665	20866.371043
0.064700	3.261449	4.082798	20867.198744
0.064800	3.261857	4.082930	20868.026078
0.064900	3.262266	4.083062	20868.853045
0.065000	3.262674	4.083194	20869.679646
0.065100	3.263082	4.083326	20870.505879
0.065200	3.263491	4.083458	20871.331746
0.065300	3.263899	4.083591	20872.157246
0.065400	3.264307	4.083723	20872.982379
0.065500	3.264716	4.083855	20873.807145
0.065600	3.265124	4.083987	20874.631544
0.065700	3.265533	4.084120	20875.455577
0.065800	3.265941	4.084252	20876.279242
0.065900	3.266349	4.084384	20877.102540
0.066000	3.266758	4.084517	20877.925471
0.066100	3.267166	4.084649	20878.748035
0.066200	3.267575	4.084781	20879.570232
